event_type,host_event_ns,link_id,task_id,ifname,thread_name,can_id,seq,nominal_period_ns,planned_release_ns,wakeup_ns,send_call_ns,send_ret,cpu_id,sched_policy,sched_priority
TX,19301499982851,2,0,can01,tx_can01,256,19,1000000,19301499896635,19301499982628,19301499982851,16,3,0,0
TX,19301499976925,0,1,can00,tx_can00,257,10,2000000,19301499839843,19301499904351,19301499976925,16,0,0,0
TX,19301500509274,1,0,can10,tx_can10,256,20,1000000,19301500441637,19301500509052,19301500509274,16,2,0,0
TX,19301500535404,1,1,can10,tx_can10,257,10,2000000,19301500441637,19301500509052,19301500535404,16,2,0,0
TX,19301500555533,1,2,can10,tx_can10,258,2,10000000,19301500441637,19301500509052,19301500555533,16,2,0,0
TX,19301500579922,1,3,can10,tx_can10,259,1,20000000,19301500441637,19301500509052,19301500579922,16,2,0,0
TX,19301500607737,3,0,can11,tx_can11,256,18,1000000,19301500529151,19301500607496,19301500607737,16,1,0,0
TX,19301500473293,0,2,can00,tx_can00,258,2,10000000,19301499839843,19301499904351,19301500473293,16,0,0,0
TX,19301500970346,0,3,can00,tx_can00,259,1,20000000,19301499839843,19301499904351,19301500970346,16,0,0,0
TX,19301501037642,0,0,can00,tx_can00,256,21,1000000,19301500839843,19301501037568,19301501037642,16,0,0,0
TX,19301501227419,2,0,can01,tx_can01,256,20,1000000,19301500896635,19301501227160,19301501227419,16,0,0,0
TX,19301501251697,2,1,can01,tx_can01,257,10,2000000,19301500896635,19301501227160,19301501251697,16,0,0,0
TX,19301501266012,2,2,can01,tx_can01,258,2,10000000,19301500896635,19301501227160,19301501266012,16,0,0,0
TX,19301501280734,2,3,can01,tx_can01,259,1,20000000,19301500896635,19301501227160,19301501280734,16,0,0,0
TX,19301501588233,1,0,can10,tx_can10,256,21,1000000,19301501441637,19301501588103,19301501588233,16,1,0,0
TX,19301501967935,2,0,can01,tx_can01,256,21,1000000,19301501896635,19301501967824,19301501967935,16,0,0,0
TX,19301501910379,0,0,can00,tx_can00,256,22,1000000,19301501839843,19301501910250,19301501910379,16,0,0,0
TX,19301502006101,0,1,can00,tx_can00,257,11,2000000,19301501839843,19301501910250,19301502006101,16,0,0,0
TX,19301502511506,1,0,can10,tx_can10,256,22,1000000,19301502441637,19301502511377,19301502511506,16,1,0,0
TX,19301502543303,1,1,can10,tx_can10,257,11,2000000,19301502441637,19301502511377,19301502543303,16,1,0,0
TX,19301502128045,3,0,can11,tx_can11,256,19,1000000,19301501529151,19301502127823,19301502128045,16,1,0,0
TX,19301502587228,3,1,can11,tx_can11,257,10,2000000,19301501529151,19301502127823,19301502587228,16,1,0,0
TX,19301502646413,3,2,can11,tx_can11,258,2,10000000,19301501529151,19301502127823,19301502646413,16,1,0,0
TX,19301502697283,3,3,can11,tx_can11,259,1,20000000,19301501529151,19301502127823,19301502697283,16,1,0,0
TX,19301502866542,3,0,can11,tx_can11,256,20,1000000,19301502529151,19301502866486,19301502866542,16,1,0,0
TX,19301503385003,2,0,can01,tx_can01,256,22,1000000,19301502896635,19301503384540,19301503385003,16,1,0,0
TX,19301503410780,2,1,can01,tx_can01,257,11,2000000,19301502896635,19301503384540,19301503410780,16,1,0,0
TX,19301503346058,0,0,can00,tx_can00,256,23,1000000,19301502839843,19301503345947,19301503346058,16,2,0,0
TX,19301503802242,1,0,can10,tx_can10,256,23,1000000,19301503441637,19301503802001,19301503802242,16,1,0,0
TX,19301504066315,0,0,can00,tx_can00,256,24,1000000,19301503839843,19301504066222,19301504066315,16,3,0,0
TX,19301504111259,0,1,can00,tx_can00,257,12,2000000,19301503839843,19301504066222,19301504111259,16,3,0,0
TX,19301504172018,2,0,can01,tx_can01,256,23,1000000,19301503896635,19301504171870,19301504172018,16,1,0,0
TX,19301504211870,3,0,can11,tx_can11,256,21,1000000,19301503529151,19301504211703,19301504211870,16,1,0,0
TX,19301504230555,3,1,can11,tx_can11,257,11,2000000,19301503529151,19301504211703,19301504230555,16,1,0,0
TX,19301504714312,1,0,can10,tx_can10,256,24,1000000,19301504441637,19301504714108,19301504714312,16,1,0,0
TX,19301504770663,1,1,can10,tx_can10,257,12,2000000,19301504441637,19301504714108,19301504770663,16,1,0,0
TX,19301504837330,3,0,can11,tx_can11,256,22,1000000,19301504529151,19301504837182,19301504837330,16,1,0,0
TX,19301504907885,0,0,can00,tx_can00,256,25,1000000,19301504839843,19301504907663,19301504907885,16,3,0,0
TX,19301504983903,2,0,can01,tx_can01,256,24,1000000,19301504896635,19301504983663,19301504983903,16,1,0,0
TX,19301505031311,2,1,can01,tx_can01,257,12,2000000,19301504896635,19301504983663,19301505031311,16,1,0,0
TX,19301505509160,1,0,can10,tx_can10,256,25,1000000,19301505441637,19301505508975,19301505509160,16,1,0,0
TX,19301505593567,3,0,can11,tx_can11,256,23,1000000,19301505529151,19301505593401,19301505593567,16,1,0,0
TX,19301505613382,3,1,can11,tx_can11,257,12,2000000,19301505529151,19301505593401,19301505613382,16,1,0,0
TX,19301505993732,2,0,can01,tx_can01,256,25,1000000,19301505896635,19301505993640,19301505993732,16,1,0,0
TX,19301506050991,0,0,can00,tx_can00,256,26,1000000,19301505839843,19301506050640,19301506050991,16,3,0,0
TX,19301506125065,0,1,can00,tx_can00,257,13,2000000,19301505839843,19301506050640,19301506125065,16,3,0,0
TX,19301506508323,1,0,can10,tx_can10,256,26,1000000,19301506441637,19301506508101,19301506508323,16,1,0,0
TX,19301506560674,1,1,can10,tx_can10,257,13,2000000,19301506441637,19301506508101,19301506560674,16,1,0,0
TX,19301506623322,3,0,can11,tx_can11,256,24,1000000,19301506529151,19301506623026,19301506623322,16,1,0,0
TX,19301506963154,2,0,can01,tx_can01,256,26,1000000,19301506896635,19301506962802,19301506963154,16,1,0,0
TX,19301507019006,2,1,can01,tx_can01,257,13,2000000,19301506896635,19301506962802,19301507019006,16,1,0,0
TX,19301506971265,0,0,can00,tx_can00,256,27,1000000,19301506839843,19301506971154,19301506971265,16,3,0,0
TX,19301507508467,1,0,can10,tx_can10,256,27,1000000,19301507441637,19301507508207,19301507508467,16,1,0,0
TX,19301507595022,3,0,can11,tx_can11,256,25,1000000,19301507529151,19301507594818,19301507595022,16,1,0,0
TX,19301507655540,3,1,can11,tx_can11,257,13,2000000,19301507529151,19301507594818,19301507655540,16,1,0,0
TX,19301508067520,0,0,can00,tx_can00,256,28,1000000,19301507839843,19301508067242,19301508067520,16,0,0,0
TX,19301507985576,2,0,can01,tx_can01,256,27,1000000,19301507896635,19301507985446,19301507985576,16,1,0,0
TX,19301508097557,0,1,can00,tx_can00,257,14,2000000,19301507839843,19301508067242,19301508097557,16,0,0,0
TX,19301508511203,1,0,can10,tx_can10,256,28,1000000,19301508441637,19301508511092,19301508511203,16,1,0,0
TX,19301508541499,1,1,can10,tx_can10,257,14,2000000,19301508441637,19301508511092,19301508541499,16,1,0,0
