exp_id,thread_name,ifname,can_id,seq,nominal_period_ns,planned_release_ns,wakeup_ns,send_call_ns,send_ret,cpu_id,sched_policy,sched_priority
1,tx_can01,can01,0x211,17,2000000,6677967666108,6677967893378,6677968057395,16,2,0,0
1,tx_can00,can00,0x110,35,1000000,6677968655719,6677968734519,6677968843463,16,3,0,0
1,tx_can01,can01,0x210,35,1000000,6677968666108,6677968744056,6677968854185,16,2,0,0
1,tx_can00,can00,0x110,36,1000000,6677969655719,6677969734585,6677969843028,16,3,0,0
1,tx_can01,can01,0x210,36,1000000,6677969666108,6677969744881,6677969854436,16,2,0,0
1,tx_can00,can00,0x111,18,2000000,6677969655719,6677969890028,6677970029619,16,3,0,0
1,tx_can01,can01,0x211,18,2000000,6677969666108,6677969893009,6677970034656,16,2,0,0
1,tx_can00,can00,0x110,37,1000000,6677970655719,6677970734780,6677970842464,16,3,0,0
1,tx_can01,can01,0x210,37,1000000,6677970666108,6677970744484,6677970856260,16,2,0,0
1,tx_can00,can00,0x110,38,1000000,6677971655719,6677971734179,6677971844308,16,3,0,0
1,tx_can01,can01,0x210,38,1000000,6677971666108,6677971745142,6677971854308,16,2,0,0
1,tx_can00,can00,0x111,19,2000000,6677971655719,6677971892067,6677972055787,16,3,0,0
1,tx_can01,can01,0x211,19,2000000,6677971666108,6677971892400,6677972059065,16,2,0,0
1,tx_can00,can00,0x110,39,1000000,6677972655719,6677972734726,6677972843670,16,3,0,0
1,tx_can01,can01,0x210,39,1000000,6677972666108,6677972745782,6677972855910,16,2,0,0
1,tx_can00,can00,0x100,4,10000000,6677973655719,6677973733236,6677973842550,16,3,0,0
1,tx_can01,can01,0x200,4,10000000,6677973666108,6677973745162,6677973854180,16,2,0,0
1,tx_can00,can00,0x101,2,20000000,6677973655719,6677973890142,6677974029660,16,3,0,0
1,tx_can01,can01,0x201,2,20000000,6677973666108,6677973892698,6677974034678,16,2,0,0
1,tx_can01,can01,0x210,40,1000000,6677973666108,6677974072030,6677974216880,16,2,0,0
1,tx_can00,can00,0x110,40,1000000,6677973655719,6677974076604,6677974218399,16,3,0,0
1,tx_can01,can01,0x211,20,2000000,6677973666108,6677974256528,6677974397471,16,2,0,0
1,tx_can00,can00,0x111,20,2000000,6677973655719,6677974267806,6677974408453,16,3,0,0
1,tx_can00,can00,0x110,41,1000000,6677974655719,6677974734339,6677974844634,16,3,0,0
1,tx_can01,can01,0x210,41,1000000,6677974666108,6677974746246,6677974856245,16,2,0,0
